workerid	trial_number	trial_type	distractor_proportion	feature	target_proportion	incorrect_clicks	species	incorrect_labels	genus	response
2	3	generic	0.5	tail	0.5	NA	bird	NA	mork	0.23
2	4	familiarization	0.5	fangs	0.9	0	fish	[]	hisp	Hisps
2	5	familiarization	0.9	fangs	0.5	0	fish	[]	fick	Ficks
2	6	generic	0.5	fangs	0.9	NA	fish	NA	hisp	0.81
2	7	generic	0.9	fangs	0.5	NA	fish	NA	fick	0.14
2	8	familiarization	0.5	thorns	0.1	0	flower	[]	gub	Gubs
2	9	familiarization	0.1	thorns	0.5	0	flower	[]	monx	Monxes
2	10	generic	0.1	thorns	0.5	NA	flower	NA	monx	0.13
2	11	generic	0.5	thorns	0.1	NA	flower	NA	gub	0.18
3	0	familiarization	0.9	tail	0.5	0	bird	[]	hinx	hinxes
3	1	familiarization	0.5	tail	0.9	0	bird	[]	fep	feps
3	2	generic	0.5	tail	0.9	NA	bird	NA	fep	0.24
3	3	generic	0.9	tail	0.5	NA	bird	NA	hinx	0.12
3	4	familiarization	0.5	thorns	0.5	0	flower	[]	blick	blicks
3	5	familiarization	0.5	thorns	0.5	0	flower	[]	hisp	hisps
3	6	generic	0.5	thorns	0.5	NA	flower	NA	blick	0.24
3	7	generic	0.5	thorns	0.5	NA	flower	NA	hisp	0.08
3	8	familiarization	0.1	fangs	0.5	0	fish	[]	hoff	hoffs
3	9	familiarization	0.5	fangs	0.1	0	fish	[]	ript	ripts
3	10	generic	0.5	fangs	0.1	NA	fish	NA	ript	0.02
3	11	generic	0.1	fangs	0.5	NA	fish	NA	hoff	0.12
4	0	familiarization	0.5	fangs	0.1	0	fish	[]	ript	ripts
4	1	familiarization	0.1	fangs	0.5	0	fish	[]	hisp	hisps
4	2	generic	0.1	fangs	0.5	NA	fish	NA	hisp	0.94
4	3	generic	0.5	fangs	0.1	NA	fish	NA	ript	0.97
4	4	familiarization	0.9	thorns	0.5	0	flower	[]	monx	monxes
4	5	familiarization	0.5	thorns	0.9	0	flower	[]	hinx	hinxes
4	6	generic	0.9	thorns	0.5	NA	flower	NA	monx	0.95
4	7	generic	0.5	thorns	0.9	NA	flower	NA	hinx	0.98
4	8	familiarization	0.5	crest	0.5	0	bird	[]	thog	thogs
4	9	familiarization	0.5	crest	0.5	0	bird	[]	mork	morks
4	10	generic	0.5	crest	0.5	NA	bird	NA	mork	0.95
4	11	generic	0.5	crest	0.5	NA	bird	NA	thog	0.97
5	0	familiarization	0.5	spots	0.5	0	flower	[]	hisp	hisps
5	1	familiarization	0.5	spots	0.5	0	flower	[]	dax	daxes
5	2	generic	0.5	spots	0.5	NA	flower	NA	hisp	0.68
5	3	generic	0.5	spots	0.5	NA	flower	NA	dax	0.73
5	4	familiarization	0.5	fangs	0.1	0	fish	[]	zop	zops
5	5	familiarization	0.1	fangs	0.5	1	fish	[]	blim	blims
5	6	generic	0.5	fangs	0.1	NA	fish	NA	zop	0.05
5	7	generic	0.1	fangs	0.5	NA	fish	NA	blim	0.72
5	8	familiarization	0.5	tail	0.9	0	bird	[]	murp	murps
5	9	familiarization	0.9	tail	0.5	0	bird	[]	hinx	hinxes
5	10	generic	0.5	tail	0.9	NA	bird	NA	murp	0.62
5	11	generic	0.9	tail	0.5	NA	bird	NA	hinx	0.47
6	0	familiarization	0.5	crest	0.5	0	bird	[]	tig	Tigs
6	1	familiarization	0.5	crest	0.5	0	bird	[]	polt	Polts
6	2	generic	0.5	crest	0.5	NA	bird	NA	polt	0.35
6	3	generic	0.5	crest	0.5	NA	bird	NA	tig	0.24
6	4	familiarization	0.5	spots	0.9	0	flower	[]	hoff	Hoffs
6	5	familiarization	0.9	spots	0.5	0	flower	[]	hoil	Hoils
6	6	generic	0.9	spots	0.5	NA	flower	NA	hoil	0.16
6	7	generic	0.5	spots	0.9	NA	flower	NA	hoff	0.89
6	8	familiarization	0.1	whiskers	0.5	0	fish	[]	mork	Mork
6	9	familiarization	0.5	whiskers	0.1	0	fish	[]	monx	Monxes
6	10	generic	0.5	whiskers	0.1	NA	fish	NA	monx	0
6	11	generic	0.1	whiskers	0.5	NA	fish	NA	mork	0.44
7	0	familiarization	0.9	spots	0.5	0	flower	[]	blim	blims
7	1	familiarization	0.5	spots	0.9	0	flower	[]	monx	monxes
7	2	generic	0.5	spots	0.9	NA	flower	NA	monx	0.93
7	3	generic	0.9	spots	0.5	NA	flower	NA	blim	0.41
7	4	familiarization	0.5	tail	0.5	0	bird	[]	zop	zops
7	5	familiarization	0.5	tail	0.5	0	bird	[]	hoil	hoils
7	6	generic	0.5	tail	0.5	NA	bird	NA	zop	0.51
7	7	generic	0.5	tail	0.5	NA	bird	NA	hoil	0.27
7	8	familiarization	0.5	fangs	0.1	0	fish	[]	mopt	mopts
7	9	familiarization	0.1	fangs	0.5	0	fish	[]	hisp	hisps
7	10	generic	0.5	fangs	0.1	NA	fish	NA	mopt	0.05
7	11	generic	0.1	fangs	0.5	NA	fish	NA	hisp	0.5
8	0	familiarization	0.5	fangs	0.1	1	fish	[]	hoil	Hoils
8	1	familiarization	0.1	fangs	0.5	0	fish	[]	tig	Tigs
8	2	generic	0.1	fangs	0.5	NA	fish	NA	tig	0.76
8	3	generic	0.5	fangs	0.1	NA	fish	NA	hoil	0.1
8	4	familiarization	0.5	tail	0.5	0	bird	[]	fick	Ficks
8	5	familiarization	0.5	tail	0.5	0	bird	[]	mopt	Mopts
8	6	generic	0.5	tail	0.5	NA	bird	NA	fick	0.86
8	7	generic	0.5	tail	0.5	NA	bird	NA	mopt	0.87
8	8	familiarization	0.9	spots	0.5	0	flower	[]	gub	Gubs
8	9	familiarization	0.5	spots	0.9	0	flower	[]	hife	Hifes
8	10	generic	0.5	spots	0.9	NA	flower	NA	hife	0.89
8	11	generic	0.9	spots	0.5	NA	flower	NA	gub	0.7
9	0	familiarization	0.5	spots	0.9	0	flower	[]	mork	morks
9	1	familiarization	0.9	spots	0.5	0	flower	[]	mopt	mopts
9	2	generic	0.5	spots	0.9	NA	flower	NA	mork	0.94
9	3	generic	0.9	spots	0.5	NA	flower	NA	mopt	0.51
9	4	familiarization	0.1	crest	0.5	0	bird	[]	poch	poches
9	5	familiarization	0.5	crest	0.1	1	bird	[]	moge	moges
9	6	generic	0.1	crest	0.5	NA	bird	NA	poch	0.52
9	7	generic	0.5	crest	0.1	NA	bird	NA	moge	0.17
9	8	familiarization	0.5	fangs	0.5	1	fish	[]	hoil	hoils
9	9	familiarization	0.5	fangs	0.5	0	fish	[]	mone	mones
9	10	generic	0.5	fangs	0.5	NA	fish	NA	mone	0.51
9	11	generic	0.5	fangs	0.5	NA	fish	NA	hoil	0.5
10	0	familiarization	0.5	fangs	0.1	8	fish	[]	zop	zops
10	1	familiarization	0.1	fangs	0.5	7	fish	[]	moge	Moges
10	2	generic	0.5	fangs	0.1	NA	fish	NA	zop	0.88
10	3	generic	0.1	fangs	0.5	NA	fish	NA	moge	0.15
10	4	familiarization	0.5	tail	0.9	0	bird	[]	mork	morks
10	5	familiarization	0.9	tail	0.5	0	bird	[]	polt	Polts
10	6	generic	0.9	tail	0.5	NA	bird	NA	polt	0.5
10	7	generic	0.5	tail	0.9	NA	bird	NA	mork	0.95
10	8	familiarization	0.5	spots	0.5	0	flower	[]	zib	zibs
10	9	familiarization	0.5	spots	0.5	2	flower	[]	ript	ripts
10	10	generic	0.5	spots	0.5	NA	flower	NA	ript	0.85
10	11	generic	0.5	spots	0.5	NA	flower	NA	zib	0.88
11	0	familiarization	0.5	whiskers	0.9	0	fish	[]	dax	Daxes
11	1	familiarization	0.9	whiskers	0.5	0	fish	[]	thog	Thogs
11	2	generic	0.9	whiskers	0.5	NA	fish	NA	thog	0.48
11	3	generic	0.5	whiskers	0.9	NA	fish	NA	dax	0.85
11	4	familiarization	0.1	thorns	0.5	0	flower	[]	hinx	hinxes
11	5	familiarization	0.5	thorns	0.1	0	flower	[]	mone	mones
11	6	generic	0.1	thorns	0.5	NA	flower	NA	hinx	0.58
11	7	generic	0.5	thorns	0.1	NA	flower	NA	mone	0.11
11	8	familiarization	0.5	tail	0.5	0	bird	[]	hoff	hoffs
11	9	familiarization	0.5	tail	0.5	0	bird	[]	mork	morks
11	10	generic	0.5	tail	0.5	NA	bird	NA	hoff	0.47
11	11	generic	0.5	tail	0.5	NA	bird	NA	mork	0.45
12	0	familiarization	0.5	whiskers	0.9	0	fish	[]	mork	Morks
12	1	familiarization	0.9	whiskers	0.5	0	fish	[]	hoil	Hoils
12	2	generic	0.9	whiskers	0.5	NA	fish	NA	hoil	1
12	3	generic	0.5	whiskers	0.9	NA	fish	NA	mork	1
12	4	familiarization	0.5	spots	0.1	0	flower	[]	fep	feps
12	5	familiarization	0.1	spots	0.5	0	flower	[]	tig	Tigs
12	6	generic	0.1	spots	0.5	NA	flower	NA	tig	0.41
12	7	generic	0.5	spots	0.1	NA	flower	NA	fep	1
12	8	familiarization	0.5	tail	0.5	0	bird	[]	fick	ficks
12	9	familiarization	0.5	tail	0.5	0	bird	[]	thog	thogs
12	10	generic	0.5	tail	0.5	NA	bird	NA	thog	0.8
12	11	generic	0.5	tail	0.5	NA	bird	NA	fick	0.75
13	0	familiarization	0.5	thorns	0.5	0	flower	[]	mork	Morks
13	1	familiarization	0.5	thorns	0.5	0	flower	[]	blim	Blims
13	2	generic	0.5	thorns	0.5	NA	flower	NA	blim	0.66
13	3	generic	0.5	thorns	0.5	NA	flower	NA	mork	0.63
13	4	familiarization	0.9	whiskers	0.5	0	fish	[]	hife	Hifes
13	5	familiarization	0.5	whiskers	0.9	0	fish	[]	wost	Wosts
13	6	generic	0.5	whiskers	0.9	NA	fish	NA	wost	0.81
13	7	generic	0.9	whiskers	0.5	NA	fish	NA	hife	0.47
13	8	familiarization	0.1	tail	0.5	0	bird	[]	snim	Snims
13	9	familiarization	0.5	tail	0.1	0	bird	[]	hisp	Hisps
13	10	generic	0.1	tail	0.5	NA	bird	NA	snim	0.57
13	11	generic	0.5	tail	0.1	NA	bird	NA	hisp	0.16
14	0	familiarization	0.5	whiskers	0.1	0	fish	[]	zib	zibs
14	1	familiarization	0.1	whiskers	0.5	0	fish	[]	fraw	fraws
14	2	generic	0.5	whiskers	0.1	NA	fish	NA	zib	0.2
14	3	generic	0.1	whiskers	0.5	NA	fish	NA	fraw	0.51
14	4	familiarization	0.9	spots	0.5	0	flower	[]	zop	zops
14	5	familiarization	0.5	spots	0.9	0	flower	[]	moge	moges
14	6	generic	0.9	spots	0.5	NA	flower	NA	zop	0.48
14	7	generic	0.5	spots	0.9	NA	flower	NA	moge	0.7
14	8	familiarization	0.5	crest	0.5	0	bird	[]	tig	tigs
14	9	familiarization	0.5	crest	0.5	0	bird	[]	mopt	mopts
14	10	generic	0.5	crest	0.5	NA	bird	NA	mopt	0.5
14	11	generic	0.5	crest	0.5	NA	bird	NA	tig	0.5
15	0	familiarization	0.5	fangs	0.5	0	fish	[]	hife	Hifes
15	1	familiarization	0.5	fangs	0.5	0	fish	[]	hinx	Hinxes
15	2	generic	0.5	fangs	0.5	NA	fish	NA	hinx	0.85
15	3	generic	0.5	fangs	0.5	NA	fish	NA	hife	0.78
15	4	familiarization	0.5	spots	0.9	0	flower	[]	fick	Ficks
15	5	familiarization	0.9	spots	0.5	0	flower	[]	fep	Feps
15	6	generic	0.9	spots	0.5	NA	flower	NA	fep	0.73
15	7	generic	0.5	spots	0.9	NA	flower	NA	fick	0.98
15	8	familiarization	0.1	tail	0.5	0	bird	[]	ript	Ripts
15	9	familiarization	0.5	tail	0.1	0	bird	[]	blick	Blicks
15	10	generic	0.5	tail	0.1	NA	bird	NA	blick	0.04
15	11	generic	0.1	tail	0.5	NA	bird	NA	ript	0.71
16	0	familiarization	0.1	thorns	0.5	0	flower	[]	snim	Snims
16	1	familiarization	0.5	thorns	0.1	0	flower	[]	ript	Ripts
16	2	generic	0.1	thorns	0.5	NA	flower	NA	snim	0.72
16	3	generic	0.5	thorns	0.1	NA	flower	NA	ript	0.3
16	4	familiarization	0.5	whiskers	0.5	2	fish	[]	hinx	Hinxes
16	5	familiarization	0.5	whiskers	0.5	0	fish	[]	hoff	Hoffs
16	6	generic	0.5	whiskers	0.5	NA	fish	NA	hinx	0.5
16	7	generic	0.5	whiskers	0.5	NA	fish	NA	hoff	0.53
16	8	familiarization	0.9	crest	0.5	0	bird	[]	fep	Feps
16	9	familiarization	0.5	crest	0.9	0	bird	[]	mone	Mones
16	10	generic	0.5	crest	0.9	NA	bird	NA	mone	0.82
16	11	generic	0.9	crest	0.5	NA	bird	NA	fep	0.51
17	0	familiarization	0.9	crest	0.5	0	bird	[]	dax	daxes
17	1	familiarization	0.5	crest	0.9	0	bird	[]	polt	polts
17	2	generic	0.5	crest	0.9	NA	bird	NA	polt	0.87
17	3	generic	0.9	crest	0.5	NA	bird	NA	dax	0.5
17	4	familiarization	0.5	fangs	0.1	0	fish	[]	gub	gubs
17	5	familiarization	0.1	fangs	0.5	0	fish	[]	thog	thogs
17	6	generic	0.1	fangs	0.5	NA	fish	NA	thog	0.56
17	7	generic	0.5	fangs	0.1	NA	fish	NA	gub	0.33
17	8	familiarization	0.5	spots	0.5	0	flower	[]	blick	blicks
17	9	familiarization	0.5	spots	0.5	0	flower	[]	tig	tigs
17	10	generic	0.5	spots	0.5	NA	flower	NA	blick	0.56
17	11	generic	0.5	spots	0.5	NA	flower	NA	tig	0.51
18	0	familiarization	0.1	fangs	0.5	5	fish	[]	mulb	Mulbs
18	1	familiarization	0.5	fangs	0.1	0	fish	[]	blim	blims
18	2	generic	0.1	fangs	0.5	NA	fish	NA	mulb	0.74
18	3	generic	0.5	fangs	0.1	NA	fish	NA	blim	0.13
18	4	familiarization	0.5	crest	0.9	0	bird	[]	snim	Snims
18	5	familiarization	0.9	crest	0.5	0	bird	[]	moge	moges
18	6	generic	0.5	crest	0.9	NA	bird	NA	snim	0.92
18	7	generic	0.9	crest	0.5	NA	bird	NA	moge	0.5
18	8	familiarization	0.5	thorns	0.5	0	flower	[]	wug	wugs
18	9	familiarization	0.5	thorns	0.5	0	flower	[]	blick	blicks
18	10	generic	0.5	thorns	0.5	NA	flower	NA	blick	0.5
18	11	generic	0.5	thorns	0.5	NA	flower	NA	wug	0.53
19	0	familiarization	0.5	fangs	0.1	0	fish	[]	hife	hifes
19	1	familiarization	0.1	fangs	0.5	0	fish	[]	monx	monxes
19	2	generic	0.5	fangs	0.1	NA	fish	NA	hife	0.69
19	3	generic	0.1	fangs	0.5	NA	fish	NA	monx	0.88
19	4	familiarization	0.9	thorns	0.5	0	flower	[]	fing	fings
19	5	familiarization	0.5	thorns	0.9	0	flower	[]	speff	speffs
19	6	generic	0.5	thorns	0.9	NA	flower	NA	speff	0.98
19	7	generic	0.9	thorns	0.5	NA	flower	NA	fing	0.6
19	8	familiarization	0.5	crest	0.5	0	bird	[]	hoil	hoils
19	9	familiarization	0.5	crest	0.5	0	bird	[]	wock	wocks
19	10	generic	0.5	crest	0.5	NA	bird	NA	hoil	0.71
19	11	generic	0.5	crest	0.5	NA	bird	NA	wock	0.71
